Gene ID,Gene Name,Cluster 1 Weight,Cluster 1 UMI counts/cell,Cluster 2 Weight,Cluster 2 UMI counts/cell,Cluster 3 Weight,Cluster 3 UMI counts/cell,Cluster 4 Weight,Cluster 4 UMI counts/cell,Cluster 5 Weight,Cluster 5 UMI counts/cell,Cluster 6 Weight,Cluster 6 UMI counts/cell
ENSG00000175467,SART1,8.0739993806034889,0.076923076923076927,-21.411851536395627,0.087591240875912413,20.548712304383937,0.082857142857142851,-0.27544320744014777,0.0,-3.0298752818416257,0.0,-3.9055416593099661,0.083969465648854963
ENSG00000175376,EIF1AD,-42.523875688746372,0.02372393961179008,47.531005516579029,0.046715328467153282,-17.521455878944018,0.017142857142857144,-0.16523457176006348,0.0,-1.817580289360698,0.0,14.497140912229337,0.038167938931297711
ENSG00000175334,BANF1,-46.793340001565987,0.25089863407620416,-2.2835039441845186,0.34306569343065696,-13.052310149995279,0.23428571428571429,-0.53453064923688698,0.0,4.2729445786930853,0.45454545454545453,58.39074016629182,0.42748091603053434
ENSG00000175315,CST6,25.196383174641927,0.00071890726096333576,-13.185273089862166,0.0,-6.7370008488346409,0.0,-0.019248573853813126,0.0,-0.21173431239194437,0.0,-5.0431263496990519,0.0
ENSG00000175294,CATSPER1,-238.48560182122341,0.0021567217828900071,249.93269997568527,0.11678832116788321,-63.083548750686049,0.0,4.5815995994155747,1.0,-0.36037508205868685,0.090909090909090912,47.415226078863455,0.072519083969465645
ENSG00000087365,SF3B2,5.5043910649813155,0.25089863407620416,-25.500319074148422,0.26131386861313871,-0.21241787665202716,0.19714285714285715,-0.46895554481968149,0.0,6.0436412338053112,0.36363636363636365,14.633660196831606,0.28244274809160308
ENSG00000175115,PACS1,17.972339621219373,0.066858375269590223,-70.402758813670289,0.035036496350364967,25.821388255115874,0.062857142857142861,-0.20150943649960232,0.0,-2.216603801495626,0.0,29.027144175332953,0.13740458015267176
ENSG00000255320,RP11-755F10.1,-0.19915427593311597,0.0014378145219266715,-26.844048529126471,0.0,33.823913606838531,0.0057142857142857143,-0.039188392013323678,0.0,-0.43107231214656055,0.0,-6.3104500976187863,0.0038167938931297708
ENSG00000174996,KLC2,10.016135579978302,0.01509705248023005,-34.336245937691984,0.01167883211678832,27.218908305701532,0.017142857142857144,-0.114023908921525,0.0,-1.254262998136775,0.0,-1.5305110409281242,0.015267175572519083
ENSG00000174903,RAB1B,-89.015787570733522,0.044572250179726818,82.182123075427825,0.1635036496350365,-9.0760593920658597,0.057142857142857141,-0.23457052054996061,0.0,4.0016514602334219,0.090909090909090912,12.142642947686552,0.080152671755725186
ENSG00000245156,RP11-867G23.3,25.196383174638434,0.00071890726096333576,-13.185273089861061,0.0,-6.7370008488341302,0.0,-0.019248573853811939,0.0,-0.2117343123919313,0.0,-5.0431263496986976,0.0
ENSG00000254452,RP11-867G23.4,42.533291862955267,0.0035945363048166786,-13.155270119994924,0.0014598540145985401,-16.478057067366809,0.0,-0.047080163049619567,0.0,-0.51788179354581532,0.0,-12.335002719000286,0.0
ENSG00000174871,CNIH2,-37.685649111413866,0.0,54.591360862329999,0.0029197080291970801,-9.4823703731093545,0.0,-0.027092486780312477,0.0,-0.2980173545834372,0.0,-7.0982315364418929,0.0
ENSG00000174851,YIF1A,-87.065917826703995,0.076204169662113588,85.548219262832433,0.17518248175182483,-18.120148589529229,0.077142857142857138,-0.31232022669296677,0.0,-3.4355224936226345,0.0,23.385689873717137,0.13358778625954199
ENSG00000174807,CD248,-7.4843241397086873,0.0021567217828900071,8.912196029567804,0.0029197080291970801,11.106050087249992,0.0028571428571428571,-0.045744240792368947,0.0,-0.50318664871605845,0.0,-11.984991087600633,0.0
